servers's processes start in 23:19:17
iteration 0::  519.676 ms
iteration 1::  622.23 ms
iteration 2::  530.898 ms
iteration 3::  592.594 ms
iteration 4::  567.294 ms
iteration 5::  531.937 ms
iteration 6::  526.776 ms
iteration 7::  529.478 ms
iteration 8::  526.851 ms
iteration 9::  573.484 ms
iteration 10::  553.633 ms
iteration 11::  532.487 ms
iteration 12::  534.909 ms
iteration 13::  540.792 ms
iteration 14::  580.21 ms
iteration 15::  559.489 ms
iteration 16::  599.158 ms
iteration 17::  550.177 ms
iteration 18::  544.236 ms
iteration 19::  593.27 ms
iteration 20::  528.321 ms
iteration 21::  530.859 ms
iteration 22::  594.717 ms
iteration 23::  564.049 ms
iteration 24::  512.562 ms
iteration 25::  528.89 ms
iteration 26::  680.109 ms
iteration 27::  538.41 ms
iteration 28::  540.543 ms
iteration 29::  514.327 ms
iteration 30::  523.68 ms
iteration 31::  526.294 ms
iteration 32::  548.854 ms
iteration 33::  555.561 ms
iteration 34::  530.275 ms
iteration 35::  599.905 ms
iteration 36::  569.478 ms
iteration 37::  546.805 ms
iteration 38::  514.124 ms
iteration 39::  535.016 ms
iteration 40::  527.534 ms
iteration 41::  531.694 ms
iteration 42::  539.8 ms
iteration 43::  607.636 ms
iteration 44::  586.33 ms
iteration 45::  564.94 ms
iteration 46::  604.89 ms
iteration 47::  545.608 ms
iteration 48::  507.924 ms
iteration 49::  522.203 ms
iteration 50::  536.86 ms
iteration 51::  503.25 ms
iteration 52::  485.655 ms
iteration 53::  487.781 ms
iteration 54::  590.354 ms
iteration 55::  601.583 ms
iteration 56::  548.888 ms
iteration 57::  505.257 ms
iteration 58::  586.496 ms
iteration 59::  527.99 ms
iteration 60::  612.939 ms
iteration 61::  533.744 ms
iteration 62::  571.773 ms
iteration 63::  534.011 ms
iteration 64::  619.154 ms
iteration 65::  627.068 ms
iteration 66::  549.199 ms
iteration 67::  528.37 ms
iteration 68::  525.359 ms
iteration 69::  536.79 ms
iteration 70::  603.098 ms
iteration 71::  527.461 ms
iteration 72::  486.9 ms
iteration 73::  492.763 ms
iteration 74::  504.467 ms
iteration 75::  486.954 ms
iteration 76::  586.584 ms
iteration 77::  536.687 ms
iteration 78::  521.041 ms
iteration 79::  582.772 ms
iteration 80::  625.081 ms
iteration 81::  580.587 ms
iteration 82::  577.74 ms
iteration 83::  563.356 ms
iteration 84::  552.88 ms
iteration 85::  572.644 ms
iteration 86::  592.683 ms
iteration 87::  595.257 ms
iteration 88::  573.722 ms
iteration 89::  642.484 ms
iteration 90::  575.02 ms
iteration 91::  537.018 ms
iteration 92::  532.306 ms
iteration 93::  636.394 ms
iteration 94::  608.872 ms
iteration 95::  567.074 ms
iteration 96::  504.078 ms
iteration 97::  502.489 ms
iteration 98::  501.249 ms
iteration 99::  509.822 ms
iteration 100::  548.208 ms
iteration 101::  535.296 ms
iteration 102::  611.018 ms
iteration 103::  533.206 ms
iteration 104::  537.163 ms
iteration 105::  555.275 ms
iteration 106::  513.059 ms
iteration 107::  526.958 ms
iteration 108::  606 ms
iteration 109::  565.136 ms
iteration 110::  611.154 ms
iteration 111::  543.436 ms
iteration 112::  582.085 ms
iteration 113::  535.239 ms
iteration 114::  534.257 ms
iteration 115::  576.367 ms
iteration 116::  540.912 ms
iteration 117::  548.63 ms
iteration 118::  545.499 ms
iteration 119::  529.487 ms
iteration 120::  559.763 ms
iteration 121::  517.562 ms
iteration 122::  543.072 ms
iteration 123::  514.688 ms
iteration 124::  586.068 ms
iteration 125::  586.756 ms
iteration 126::  618.872 ms
iteration 127::  546.537 ms
iteration 128::  589.612 ms
iteration 129::  541.595 ms
iteration 130::  574.109 ms
iteration 131::  676.358 ms
iteration 132::  549.298 ms
iteration 133::  537.741 ms
iteration 134::  566.536 ms
iteration 135::  634.868 ms
iteration 136::  609.017 ms
iteration 137::  665.822 ms
iteration 138::  602.583 ms
iteration 139::  558.715 ms
iteration 140::  589.885 ms
iteration 141::  567.952 ms
iteration 142::  623.252 ms
iteration 143::  633.051 ms
iteration 144::  572.282 ms
iteration 145::  531.122 ms
iteration 146::  530.884 ms
iteration 147::  589.255 ms
iteration 148::  584.338 ms
iteration 149::  531.006 ms
iteration 150::  560.844 ms
iteration 151::  583.029 ms
iteration 152::  537.967 ms
iteration 153::  530.068 ms
iteration 154::  579.745 ms
iteration 155::  595.019 ms
iteration 156::  614.29 ms
iteration 157::  603.134 ms
iteration 158::  620.846 ms
iteration 159::  564.471 ms
iteration 160::  532.756 ms
iteration 161::  504.023 ms
iteration 162::  508.029 ms
iteration 163::  508.677 ms
iteration 164::  511.927 ms
iteration 165::  544.369 ms
iteration 166::  559.335 ms
iteration 167::  514.234 ms
iteration 168::  569.869 ms
iteration 169::  631.941 ms
iteration 170::  657.973 ms
iteration 171::  549.777 ms
iteration 172::  641.555 ms
iteration 173::  592.332 ms
iteration 174::  593.083 ms
iteration 175::  542.196 ms
iteration 176::  557.517 ms
iteration 177::  536.669 ms
iteration 178::  667.909 ms
iteration 179::  667.128 ms
iteration 180::  638.803 ms
iteration 181::  581.904 ms
iteration 182::  645.812 ms
iteration 183::  612.437 ms
iteration 184::  616.205 ms
iteration 185::  551.917 ms
iteration 186::  543.681 ms
iteration 187::  632.577 ms
iteration 188::  658.518 ms
iteration 189::  617.78 ms
iteration 190::  536.516 ms
iteration 191::  536.548 ms
iteration 192::  544.332 ms
iteration 193::  529.2 ms
iteration 194::  544.665 ms
iteration 195::  718.21 ms
iteration 196::  553.632 ms
iteration 197::  507.681 ms
iteration 198::  518.747 ms
iteration 199::  517.984 ms
iteration 200::  631.561 ms
iteration 201::  571.889 ms
iteration 202::  616.465 ms
iteration 203::  607.747 ms
iteration 204::  550.911 ms
iteration 205::  557.963 ms
iteration 206::  545.858 ms
iteration 207::  590.188 ms
iteration 208::  586.463 ms
iteration 209::  634.835 ms
iteration 210::  621.17 ms
iteration 211::  525.333 ms
iteration 212::  516.197 ms
iteration 213::  573.957 ms
iteration 214::  522.947 ms
iteration 215::  558.574 ms
iteration 216::  542.595 ms
iteration 217::  590.2 ms
iteration 218::  532.22 ms
iteration 219::  531.499 ms
iteration 220::  526.405 ms
iteration 221::  553.606 ms
iteration 222::  589.043 ms
iteration 223::  547.594 ms
iteration 224::  646.454 ms
iteration 225::  584.462 ms
iteration 226::  649.334 ms
iteration 227::  562.498 ms
iteration 228::  599.036 ms
iteration 229::  652.331 ms
iteration 230::  621.395 ms
iteration 231::  499.362 ms
iteration 232::  497.671 ms
iteration 233::  624.055 ms
iteration 234::  669.341 ms
iteration 235::  509.764 ms
iteration 236::  578.107 ms
iteration 237::  593.025 ms
iteration 238::  655.998 ms
iteration 239::  538.414 ms
iteration 240::  533.443 ms
iteration 241::  497.383 ms
iteration 242::  622.621 ms
iteration 243::  661.643 ms
iteration 244::  597.151 ms
iteration 245::  555.618 ms
iteration 246::  620.378 ms
iteration 247::  547.433 ms
iteration 248::  544.555 ms
iteration 249::  634.987 ms
iteration 250::  628.64 ms
iteration 251::  614.59 ms
iteration 252::  561.759 ms
iteration 253::  560.351 ms
iteration 254::  537.743 ms
iteration 255::  543.296 ms
iteration 256::  575.774 ms
iteration 257::  545.309 ms
iteration 258::  541.795 ms
iteration 259::  582.209 ms
iteration 260::  562.634 ms
iteration 261::  535.513 ms
iteration 262::  513.762 ms
iteration 263::  521.538 ms
iteration 264::  520.996 ms
iteration 265::  509.588 ms
iteration 266::  643.216 ms
iteration 267::  633.411 ms
iteration 268::  664.646 ms
iteration 269::  583.606 ms
iteration 270::  538.948 ms
iteration 271::  540.957 ms
iteration 272::  537.195 ms
iteration 273::  620.773 ms
iteration 274::  614.333 ms
iteration 275::  536.233 ms
iteration 276::  537.029 ms
iteration 277::  630.337 ms
iteration 278::  610.959 ms
iteration 279::  568.656 ms
iteration 280::  620.958 ms
iteration 281::  549.991 ms
iteration 282::  537.945 ms
iteration 283::  603.149 ms
iteration 284::  572.475 ms
iteration 285::  576.468 ms
iteration 286::  652.267 ms
iteration 287::  560.289 ms
iteration 288::  575.1 ms
iteration 289::  681.333 ms
iteration 290::  648.317 ms
iteration 291::  613.01 ms
iteration 292::  629.846 ms
iteration 293::  605.658 ms
iteration 294::  522.02 ms
iteration 295::  529.24 ms
