thread,begin,end,lifeSpan
8,145,145,0
8,207,207,0
8,217,219,2
8,278,279,0
8,281,281,0
8,325,325,0
8,327,327,0
8,371,371,0
8,373,373,0
8,417,417,0
8,420,420,0
8,464,464,0
8,466,466,0
8,516,516,0
8,518,519,1
8,574,574,0
8,576,576,0
8,621,621,0
8,623,624,1
8,666,666,0
8,668,668,0
8,710,710,0
8,712,713,1
8,755,756,0
8,758,758,0
8,799,799,0
8,801,802,0
8,843,844,0
8,845,847,1
8,888,888,0
8,890,891,0
8,933,933,0
8,935,936,0
8,977,977,0
8,980,980,0
8,1021,1021,0
8,1023,1024,1
8,1067,1067,0
8,1069,1070,0
8,1111,1111,0
8,1114,1115,0
8,1153,1153,0
8,1155,1157,1
8,1193,1193,0
8,1196,1197,1
8,1234,1234,0
8,1237,1238,0
8,1275,1275,0
8,1278,1278,0
8,1315,1316,0
8,1318,1319,0
8,1356,1356,0
8,1358,1360,1
8,1396,1396,0
8,1398,1399,1
8,1437,1437,0
8,1440,1441,1
8,1478,1478,0
8,1480,1482,1
8,1520,1520,0
8,1522,1523,1
8,1558,1559,0
8,1561,1562,0
8,1598,1598,0
8,1600,1601,0
8,1638,1638,0
8,1640,1640,0
8,1677,1677,0
8,1679,1680,0
8,1717,1717,0
8,1719,1720,1
8,1757,1758,0
8,1760,1761,1
8,1798,1798,0
8,1800,1801,0
8,1837,1837,0
8,1840,1841,1
8,1877,1878,0
8,1880,1881,1
8,1918,1918,0
8,1920,1921,0
8,1958,1958,0
8,1960,1961,0
8,1997,1997,0
8,2000,2000,0
8,2037,2038,0
8,2041,2042,0
8,2078,2078,0
8,2080,2081,0
8,2116,2116,0
8,2118,2120,1
8,2155,2155,0
8,2157,2158,0
8,2194,2195,0
8,2197,2198,0
8,2235,2235,0
8,2237,2238,0
8,2273,2279,5
8,2281,2282,1
8,2318,2318,0
8,2322,2323,0
8,2359,2359,0
8,2361,2362,1
8,2396,2397,0
8,2399,2400,0
8,2436,2436,0
8,2440,2441,1
8,2476,2476,0
8,2480,2481,1
8,2519,2519,0
8,2523,2524,1
8,2560,2561,0
8,2563,2565,1
8,2600,2600,0
8,2603,2604,1
8,2639,2639,0
8,2642,2643,1
8,2678,2678,0
8,2681,2683,1
8,2718,2718,0
8,2722,2723,1
8,2758,2758,0
8,2761,2762,1
8,2799,2799,0
8,2803,2804,0
8,2840,2840,0
8,2844,2846,1
8,2882,2882,0
8,2885,2887,1
8,2922,2922,0
8,2924,2926,1
8,2962,2962,0
8,2965,2966,1
8,3001,3001,0
8,3003,3004,1
8,3039,3039,0
8,3042,3043,0
8,3078,3078,0
8,3080,3081,0
8,3115,3116,0
8,3118,3120,1
8,3156,3156,0
8,3159,3160,1
8,3197,3197,0
8,3200,3201,1
8,3236,3236,0
8,3238,3239,1
1,3259,3259,0
1,3259,3260,0
1,3260,3260,0
8,3274,3275,0
8,3295,3296,0
8,3303,3310,7
8,3352,3352,0
8,3353,3354,0
8,3392,3392,0
8,3394,3394,0
8,3420,3420,0
8,3429,3430,0
8,3454,3455,0
8,3456,3457,0
8,3482,3483,0
8,3484,3486,1
8,3532,3532,0
8,3534,3535,0
8,3560,3560,0
8,3562,3563,0
8,3596,3596,0
8,3598,3599,0
8,3631,3636,4
8,3638,3638,0
8,3666,3666,0
8,3668,3669,1
8,3695,3696,0
8,3698,3698,0
8,3723,3723,0
8,3724,3725,0
8,3761,3766,5
8,3775,3775,0
8,3824,3824,0
8,3826,3837,11
8,3879,3888,9
8,3890,3891,1
8,3928,3928,0
8,3931,3957,25
8,4005,4006,0
8,4008,4011,2
8,4037,4038,0
8,4039,4041,1
8,4068,4068,0
8,4071,4073,1
8,4104,4106,2
8,4108,4124,15
8,4150,4151,0
8,4152,4154,1
8,4181,4181,0
8,4182,4183,1
8,4210,4210,0
8,4212,4213,1
8,4239,4240,0
8,4241,4242,1
8,4291,4292,0
8,4297,4297,0
8,4372,4379,7
8,4391,4391,0
8,4449,4458,9
8,4473,4473,0
8,4520,4520,0
8,4560,4560,0
8,4590,4591,0
8,4594,4594,0
8,4634,4634,0
8,4636,4637,1
8,4671,4672,0
8,4688,4689,1
8,4743,4744,0
8,4747,4747,0
8,4777,4777,0
8,4788,4789,1
8,4821,4822,0
8,4826,4827,0
8,4855,4855,0
8,4859,4865,6
8,4900,4900,0
8,4905,4906,1
8,4933,4934,0
8,4938,4939,1
8,4969,4969,0
8,4982,4982,0
8,5043,5047,3
8,5049,5050,1
8,5091,5091,0
8,5104,5113,9
8,5153,5167,14
8,5169,5170,0
8,5213,5213,0
8,5245,5247,1
8,5319,5320,0
8,5332,5340,8
8,5375,5376,0
8,5380,5382,1
8,5437,5437,0
8,5447,5453,5
8,5504,5504,0
8,5510,5515,5
8,5580,5588,7
8,5591,5607,16
8,5637,5637,0
8,5642,5643,0
8,5692,5692,0
8,5693,5695,1
8,5727,5728,0
8,5736,5737,0
8,5765,5765,0
8,5768,5769,1
8,5801,5802,0
8,5805,5805,0
8,5853,5853,0
8,5857,5864,6
8,5939,5940,0
8,5943,5943,0
8,6020,6020,0
8,6026,6033,7
8,6079,6080,0
8,6082,6083,0
8,6128,6129,1
8,6133,6137,4
8,6164,6164,0
8,6166,6172,5
8,6204,6204,0
8,6206,6208,1
8,6235,6235,0
8,6238,6238,0
8,6265,6266,0
8,6268,6269,0
8,6296,6296,0
8,6298,6299,1
8,6326,6327,0
8,6329,6330,0
8,6358,6358,0
8,6360,6361,0
8,6388,6388,0
8,6391,6392,0
8,6419,6419,0
8,6421,6422,0
8,6449,6449,0
8,6451,6453,1
8,6480,6480,0
8,6483,6484,0
8,6511,6511,0
8,6513,6514,1
8,6551,6551,0
8,6557,6557,0
8,6602,6602,0
8,6606,6607,0
8,6643,6644,0
8,6661,6661,0
8,6697,6698,0
8,6702,6702,0
8,6744,6744,0
8,6749,6749,0
8,6808,6808,0
8,6812,6812,0
8,6859,6859,0
8,6863,6863,0
8,6923,6924,0
8,6926,6927,0
8,6956,6956,0
8,6959,6959,0
8,6995,6995,0
8,7007,7007,0
8,7064,7064,0
8,7065,7066,0
8,7115,7115,0
8,7117,7117,0
8,7163,7164,0
8,7167,7167,0
8,7208,7208,0
8,7212,7213,0
8,7251,7251,0
8,7253,7254,0
8,7304,7305,0
8,7307,7309,1
8,7354,7354,0
8,7364,7364,0
8,7407,7408,0
8,7415,7416,0
8,7480,7480,0
8,7482,7496,13
8,7542,7543,0
8,7544,7545,0
8,7585,7585,0
8,7588,7588,0
8,7640,7641,0
8,7652,7653,0
8,7678,7678,0
8,7680,7681,1
8,7707,7707,0
8,7709,7709,0
8,7735,7736,0
8,7737,7738,0
8,7764,7764,0
8,7765,7766,0
8,7792,7792,0
8,7794,7795,0
8,7821,7821,0
8,7823,7823,0
8,7849,7849,0
8,7851,7852,0
8,7878,7878,0
8,7880,7881,0
8,7924,7924,0
8,7925,7926,0
8,7983,7983,0
8,7986,7986,0
8,8021,8021,0
8,8023,8024,0
8,8052,8053,0
8,8055,8056,0
8,8081,8081,0
8,8084,8084,0
8,8110,8110,0
8,8112,8112,0
8,8159,8160,0
8,8163,8164,0
8,8189,8190,0
8,8193,8193,0
8,8219,8219,0
8,8222,8222,0
8,8248,8248,0
8,8251,8252,1
8,8276,8277,0
8,8279,8280,0
8,8305,8306,0
8,8308,8308,0
8,8336,8336,0
8,8339,8340,0
8,8366,8366,0
8,8369,8369,0
8,8394,8394,0
8,8397,8398,0
8,8424,8424,0
8,8427,8429,1
8,8455,8455,0
8,8459,8460,1
8,8485,8485,0
8,8489,8490,0
8,8532,8532,0
8,8567,8567,0
8,8659,8662,2
8,8679,8680,0
8,8737,8737,0
8,8743,8758,15
8,8812,8812,0
8,8819,8820,0
8,8903,8924,20
8,8929,8935,5
8,8975,8975,0
8,8979,8979,0
8,9024,9026,2
8,9047,9048,0
8,9084,9084,0
8,9088,9088,0
8,9123,9124,0
8,9127,9127,0
8,9171,9195,24
8,9199,9223,24
8,9256,9256,0
8,9260,9260,0
8,9299,9300,0
8,9302,9302,0
8,9345,9345,0
8,9366,9366,0
8,9399,9404,4
8,9439,9439,0
8,9476,9476,0
8,9478,9479,0
8,9509,9509,0
8,9512,9512,0
8,9543,9543,0
8,9545,9545,0
8,9591,9593,1
8,9596,9603,7
8,9651,9652,1
8,9657,9671,14
8,9712,9712,0
8,9714,9715,0
8,9769,9777,7
8,9780,9780,0
8,9810,9810,0
8,9812,9812,0
8,9847,9847,0
8,9849,9849,0
8,9875,9875,0
8,9877,9878,0
8,9905,9910,4
8,9916,9917,0
8,9942,9942,0
8,9944,9945,0
8,9970,9971,0
8,9973,9973,0
8,9998,9999,0
8,10001,10002,1
8,10031,10031,0
8,10033,10034,0
8,10060,10060,0
8,10064,10071,7
8,10119,10119,0
8,10127,10127,0
8,10154,10154,0
8,10156,10156,0
8,10184,10184,0
8,10186,10187,0
8,10213,10213,0
8,10216,10216,0
8,10248,10248,0
8,10251,10251,0
8,10296,10296,0
8,10298,10298,0
8,10344,10344,0
8,10346,10346,0
8,10382,10382,0
8,10384,10384,0
8,10416,10417,0
8,10428,10428,0
8,10467,10467,0
8,10470,10470,0
8,10512,10512,0
8,10522,10523,0
8,10575,10576,0
8,10578,10579,0
8,10637,10637,0
8,10639,10641,1
8,10675,10675,0
8,10678,10678,0
8,10709,10709,0
8,10712,10712,0
8,10760,10760,0
8,10765,10765,0
8,10815,10816,0
8,10824,10831,7
8,10872,10873,0
8,10896,10897,0
8,10935,10936,0
8,10938,10938,0
8,10965,10965,0
8,10967,10968,0
8,10995,10996,0
8,10998,10999,0
8,11025,11025,0
8,11028,11029,1
8,11056,11056,0
8,11059,11059,0
8,11086,11086,0
8,11090,11091,1
8,11118,11118,0
8,11120,11121,1
8,11148,11148,0
8,11150,11151,0
8,11178,11178,0
8,11180,11181,1
8,11208,11208,0
8,11211,11212,1
8,11240,11240,0
8,11252,11259,6
8,11287,11288,0
8,11289,11290,0
8,11322,11322,0
8,11323,11323,0
8,11368,11368,0
8,11370,11371,0
8,11406,11406,0
8,11408,11409,1
8,11448,11463,14
8,11474,11483,9
8,11518,11521,3
8,11527,11528,0
8,11565,11565,0
8,11567,11572,4
8,11624,11625,0
8,11637,11638,0
8,11671,11671,0
8,11674,11675,1
8,11741,11755,14
8,11757,11759,1
8,11790,11790,0
8,11792,11793,1
8,11832,11832,0
8,11840,11840,0
8,11866,11867,0
8,11869,11871,1
8,11915,11916,0
8,11926,11927,0
8,11968,11969,1
8,11978,11978,0
8,12015,12015,0
8,12039,12039,0
8,12083,12083,0
8,12086,12097,11
8,12146,12147,1
8,12150,12151,1
8,12182,12182,0
8,12191,12191,0
8,12231,12231,0
