,thread,time,event
,7,3250,connect to server success
,1,3261,dispatcher run
,3,3261,map controller run
,5,3261,server run
,5,3261,server is closed
,3,3273,task 26 pass to 0
,0,3283,worker is executing own tasks
,0,3283,worker is executing another tasks
,0,3283,worker try execute another tasks from 1 rank
,0,3284,rank 1 haven't tasks
,0,3284,worker try execute another tasks from 0 rank
,0,3295,rank 0 haven't tasks
,0,3295,worker finished job
,6,3296,tasks.size = 0
,0,3303,worker is executing own tasks
,0,3303,worker is executing another tasks
,0,3303,worker try execute another tasks from 1 rank
,3,3311,task 3 pass to 2
,0,3314,worker executed 3 task
,0,3314,worker try execute another tasks from 1 rank
,3,3315,task 9 pass to 2
,0,3317,worker executed 9 task
,0,3317,worker try execute another tasks from 1 rank
,3,3318,task 13 pass to 2
,0,3320,worker executed 13 task
,0,3320,worker try execute another tasks from 1 rank
,3,3321,task 19 pass to 2
,0,3324,worker executed 19 task
,0,3324,worker try execute another tasks from 1 rank
,3,3332,task 31 pass to 2
,0,3333,worker executed 31 task
,0,3333,worker try execute another tasks from 1 rank
,0,3333,rank 1 haven't tasks
,0,3333,worker try execute another tasks from 0 rank
,3,3336,task 28 pass to 1
,3,3337,task 24 pass to 2
,3,3338,task 26 pass to 1
,0,3339,worker executed 24 task
,0,3339,worker try execute another tasks from 0 rank
,0,3339,rank 0 haven't tasks
,0,3339,worker finished job
,6,3352,tasks.size = 6
,0,3354,worker is executing own tasks
,0,3367,worker is executing another tasks
,0,3367,worker try execute another tasks from 1 rank
,3,3367,task 23 pass to 2
,0,3369,worker executed 23 task
,0,3369,worker try execute another tasks from 1 rank
,3,3370,task 27 pass to 2
,0,3372,worker executed 27 task
,0,3372,worker try execute another tasks from 1 rank
,3,3372,task 28 pass to 2
,0,3375,worker executed 28 task
,0,3375,worker try execute another tasks from 1 rank
,0,3375,rank 1 haven't tasks
,0,3375,worker try execute another tasks from 0 rank
,3,3385,task 30 pass to 2
,0,3386,worker executed 30 task
,0,3386,worker try execute another tasks from 0 rank
,0,3391,rank 0 haven't tasks
,0,3391,worker finished job
,6,3392,tasks.size = 10
,0,3395,worker is executing own tasks
,0,3414,worker is executing another tasks
,0,3414,worker try execute another tasks from 1 rank
,3,3415,task 26 pass to 2
,3,3415,task 18 pass to 1
,0,3418,worker executed 26 task
,0,3418,worker try execute another tasks from 1 rank
,0,3418,rank 1 haven't tasks
,0,3418,worker try execute another tasks from 0 rank
,0,3418,rank 0 haven't tasks
,0,3418,worker finished job
,6,3420,tasks.size = 11
,0,3430,worker is executing own tasks
,0,3451,worker is executing another tasks
,0,3451,worker try execute another tasks from 1 rank
,0,3451,rank 1 haven't tasks
,0,3451,worker try execute another tasks from 0 rank
,0,3452,rank 0 haven't tasks
,0,3452,worker finished job
,6,3455,tasks.size = 11
,0,3457,worker is executing own tasks
,0,3479,worker is executing another tasks
,0,3479,worker try execute another tasks from 1 rank
,0,3479,rank 1 haven't tasks
,0,3479,worker try execute another tasks from 0 rank
,0,3480,rank 0 haven't tasks
,0,3480,worker finished job
,6,3482,tasks.size = 11
,0,3486,worker is executing own tasks
,0,3508,worker is executing another tasks
,0,3508,worker try execute another tasks from 1 rank
,0,3523,rank 1 haven't tasks
,0,3523,worker try execute another tasks from 0 rank
,0,3524,rank 0 haven't tasks
,0,3524,worker finished job
,6,3532,tasks.size = 11
,0,3535,worker is executing own tasks
,0,3557,worker is executing another tasks
,0,3557,worker try execute another tasks from 1 rank
,0,3557,rank 1 haven't tasks
,0,3557,worker try execute another tasks from 0 rank
,0,3558,rank 0 haven't tasks
,0,3558,worker finished job
,6,3561,tasks.size = 11
,0,3563,worker is executing own tasks
,0,3585,worker is executing another tasks
,0,3585,worker try execute another tasks from 1 rank
,3,3586,task 25 pass to 2
,0,3588,worker executed 25 task
,3,3588,task 29 pass to 0
,0,3588,worker try execute another tasks from 1 rank
,0,3591,worker executed 22 task
,0,3591,worker try execute another tasks from 1 rank
,0,3591,rank 1 haven't tasks
,0,3591,worker try execute another tasks from 0 rank
,0,3591,rank 0 haven't tasks
,0,3592,worker finished job
,3,3592,task 22 pass to 2
,3,3592,task 18 pass to 0
,6,3596,tasks.size = 13
,0,3599,worker is executing own tasks
,3,3623,task 29 pass to 1
,0,3624,worker is executing another tasks
,0,3624,worker try execute another tasks from 1 rank
,0,3624,rank 1 haven't tasks
,0,3624,worker try execute another tasks from 0 rank
,0,3624,rank 0 haven't tasks
,0,3624,worker finished job
,6,3632,tasks.size = 13
,0,3639,worker is executing own tasks
,3,3660,task 20 pass to 1
,0,3664,worker is executing another tasks
,0,3664,worker try execute another tasks from 1 rank
,0,3664,rank 1 haven't tasks
,0,3664,worker try execute another tasks from 0 rank
,0,3664,rank 0 haven't tasks
,0,3664,worker finished job
,6,3666,tasks.size = 13
,0,3669,worker is executing own tasks
,0,3694,worker is executing another tasks
,0,3694,worker try execute another tasks from 1 rank
,0,3695,rank 1 haven't tasks
,0,3695,worker try execute another tasks from 0 rank
,0,3695,rank 0 haven't tasks
,0,3695,worker finished job
,6,3695,tasks.size = 13
,0,3698,worker is executing own tasks
,3,3719,task 18 pass to 1
,3,3720,change location in 0 for task 25 counter was 1
,0,3722,worker is executing another tasks
,3,3722,change location in 1 for task 25 counter was 0
,3,3722,map changed for task 25; sendedTaskCounter.size = 0
,0,3722,worker try execute another tasks from 1 rank
,3,3722,delete task 25
,0,3722,rank 1 haven't tasks
,0,3722,worker try execute another tasks from 0 rank
,0,3722,rank 0 haven't tasks
,0,3722,worker finished job
,6,3723,tasks.size = 12
,0,3725,worker is executing own tasks
,3,3749,task 29 pass to 0
,0,3749,worker is executing another tasks
,0,3749,worker try execute another tasks from 1 rank
,3,3750,task 20 pass to 2
,3,3751,task 18 pass to 0
,0,3753,worker executed 20 task
,0,3753,worker try execute another tasks from 1 rank
,0,3753,rank 1 haven't tasks
,0,3753,worker try execute another tasks from 0 rank
,0,3753,rank 0 haven't tasks
,0,3753,worker finished job
,6,3766,tasks.size = 13
,0,3775,worker is executing own tasks
,3,3790,task 14 pass to 1
,3,3792,task 16 pass to 1
,0,3798,worker is executing another tasks
,0,3798,worker try execute another tasks from 1 rank
,3,3800,delete task 20
,3,3801,change location in 0 for task 20 counter was 1
,3,3801,change location in 1 for task 20 counter was 0
