thread,tag,sender,reciever,begin,end,lifeSpan
1,2001,1,0,16,186,169
1,2001,1,0,187,189,2
3,1030,1,0,18,191,173
3,1030,1,0,191,191,0
0,2002,1,0,194,207,13
6,1999,0,0,145,207,62
0,2002,1,0,277,277,0
6,1999,0,0,219,277,57
1,2001,1,0,189,278,88
0,2002,1,0,324,325,0
6,1999,0,0,281,325,43
1,2001,1,0,278,325,46
1,2001,1,0,325,370,44
0,2002,1,0,370,371,0
6,1999,0,0,327,371,44
1,2001,1,0,370,416,46
0,2002,1,0,417,417,0
6,1999,0,0,373,417,43
1,2001,1,0,416,463,47
0,2002,1,0,463,464,0
6,1999,0,0,420,464,43
1,2001,1,0,463,509,45
3,1030,1,0,191,510,318
3,1030,1,0,510,510,0
1,2001,1,0,509,512,2
0,2002,1,0,516,516,0
6,1999,0,0,466,516,49
1,2001,1,0,512,565,52
3,1030,1,0,510,565,55
3,1030,1,0,565,565,0
1,2001,1,0,565,568,2
3,1030,1,0,565,568,2
3,1030,1,0,568,568,0
1,2001,1,0,568,570,2
0,2002,1,0,573,574,0
6,1999,0,0,519,574,54
3,1030,1,0,568,618,49
0,2002,1,0,617,618,0
1,2001,1,0,570,620,49
0,2002,1,0,620,621,0
6,1999,0,0,576,621,45
1,2001,1,0,620,663,43
0,2002,1,0,665,666,0
6,1999,0,0,624,666,41
1,2001,1,0,663,707,43
0,2002,1,0,707,707,0
3,1030,1,0,618,707,89
6,1999,0,0,668,707,39
3,1030,1,0,707,707,0
1,2001,1,0,707,709,2
0,2002,1,0,751,751,0
3,1030,1,0,707,752,44
1,2001,1,0,709,753,43
0,2002,1,0,755,755,0
6,1999,0,0,713,755,42
1,2001,1,0,753,798,45
0,2002,1,0,798,799,0
6,1999,0,0,758,799,41
1,2001,1,0,798,843,44
0,2002,1,0,843,843,0
6,1999,0,0,802,843,41
1,2001,1,0,843,886,43
0,2002,1,0,888,888,0
6,1999,0,0,847,888,41
1,2001,1,0,886,930,43
0,2002,1,0,932,933,0
6,1999,0,0,891,933,42
1,2001,1,0,930,975,45
0,2002,1,0,977,977,0
6,1999,0,0,936,977,41
1,2001,1,0,975,1017,42
3,1030,1,0,752,1018,266
3,1030,1,0,1018,1018,0
0,2002,1,0,1019,1019,0
6,1999,0,0,980,1019,39
1,2001,1,0,1018,1020,2
0,2002,1,0,1063,1064,0
3,1030,1,0,1018,1064,45
1,2001,1,0,1020,1064,43
0,2002,1,0,1066,1067,0
6,1999,0,0,1024,1067,42
1,2001,1,0,1064,1108,44
0,2002,1,0,1110,1111,0
6,1999,0,0,1070,1111,41
0,2002,1,0,1148,1149,0
3,1030,1,0,1064,1149,85
0,2002,1,0,1150,1150,0
3,1030,1,0,1149,1150,1
1,2001,1,0,1108,1151,42
0,2002,1,0,1153,1153,0
6,1999,0,0,1115,1153,38
1,2001,1,0,1151,1193,41
0,2002,1,0,1193,1193,0
6,1999,0,0,1157,1193,36
0,2002,1,0,1233,1233,0
6,1999,0,0,1197,1233,35
1,2001,1,0,1193,1234,40
1,2001,1,0,1234,1274,40
0,2002,1,0,1274,1274,0
6,1999,0,0,1238,1274,36
1,2001,1,0,1274,1313,38
0,2002,1,0,1312,1313,0
3,1030,1,0,1150,1313,162
0,2002,1,0,1315,1315,0
6,1999,0,0,1278,1315,36
1,2001,1,0,1313,1353,40
3,1030,1,0,1313,1353,40
3,1030,1,0,1353,1353,0
0,2002,1,0,1354,1354,0
6,1999,0,0,1319,1355,35
1,2001,1,0,1353,1356,2
1,2001,1,0,1356,1395,39
0,2002,1,0,1395,1396,0
6,1999,0,0,1360,1396,35
1,2001,1,0,1395,1435,40
0,2002,1,0,1437,1437,0
6,1999,0,0,1399,1437,37
1,2001,1,0,1435,1475,39
3,1030,1,0,1353,1475,121
3,1030,1,0,1475,1476,0
0,2002,1,0,1476,1476,0
6,1999,0,0,1441,1476,34
1,2001,1,0,1475,1478,2
0,2002,1,0,1517,1517,0
1,2001,1,0,1478,1517,39
3,1030,1,0,1476,1517,41
0,2002,1,0,1519,1520,0
6,1999,0,0,1482,1520,37
1,2001,1,0,1517,1558,40
0,2002,1,0,1558,1558,0
6,1999,0,0,1523,1558,35
1,2001,1,0,1558,1596,38
0,2002,1,0,1598,1598,0
6,1999,0,0,1562,1598,36
1,2001,1,0,1596,1636,39
0,2002,1,0,1637,1638,0
6,1999,0,0,1601,1638,37
1,2001,1,0,1636,1676,39
0,2002,1,0,1676,1677,0
6,1999,0,0,1641,1677,36
1,2001,1,0,1676,1715,39
0,2002,1,0,1716,1717,0
6,1999,0,0,1680,1717,36
1,2001,1,0,1715,1755,40
0,2002,1,0,1757,1757,0
6,1999,0,0,1720,1757,37
1,2001,1,0,1755,1796,41
0,2002,1,0,1798,1798,0
6,1999,0,0,1761,1798,36
1,2001,1,0,1796,1836,40
0,2002,1,0,1837,1837,0
6,1999,0,0,1801,1837,36
1,2001,1,0,1836,1875,38
0,2002,1,0,1877,1877,0
6,1999,0,0,1841,1877,36
1,2001,1,0,1875,1915,39
3,1030,1,0,1517,1915,398
3,1030,1,0,1915,1916,0
0,2002,1,0,1916,1916,0
6,1999,0,0,1881,1916,34
1,2001,1,0,1915,1917,2
0,2002,1,0,1956,1956,0
6,1999,0,0,1921,1956,34
1,2001,1,0,1917,1957,39
0,2002,1,0,1994,1994,0
3,1030,1,0,1916,1994,78
1,2001,1,0,1957,1995,38
0,2002,1,0,1997,1997,0
6,1999,0,0,1961,1997,36
1,2001,1,0,1995,2034,39
3,1030,1,0,1994,2035,40
3,1030,1,0,2035,2035,0
0,2002,1,0,2035,2035,0
6,1999,0,0,2000,2035,34
1,2001,1,0,2034,2037,2
0,2002,1,0,2075,2075,0
3,1030,1,0,2035,2075,40
1,2001,1,0,2037,2076,39
0,2002,1,0,2077,2077,0
6,1999,0,0,2042,2078,35
1,2001,1,0,2076,2113,37
3,1030,1,0,2075,2114,38
3,1030,1,0,2114,2114,0
0,2002,1,0,2114,2114,0
6,1999,0,0,2081,2114,33
1,2001,1,0,2113,2116,2
0,2002,1,0,2154,2154,0
6,1999,0,0,2120,2154,34
1,2001,1,0,2116,2154,38
3,1030,1,0,2114,2191,77
0,2002,1,0,2191,2191,0
1,2001,1,0,2154,2192,38
0,2002,1,0,2194,2194,0
6,1999,0,0,2158,2194,36
1,2001,1,0,2192,2232,39
3,1030,1,0,2191,2233,41
0,2002,1,0,2232,2233,0
3,1030,1,0,2233,2233,0
6,1999,0,0,2198,2233,34
1,2001,1,0,2232,2235,2
0,2002,1,0,2271,2272,0
6,1999,0,0,2238,2272,33
1,2001,1,0,2235,2273,37
0,2002,1,0,2314,2315,0
1,2001,1,0,2273,2315,42
3,1030,1,0,2233,2316,82
0,2002,1,0,2318,2318,0
6,1999,0,0,2282,2318,35
1,2001,1,0,2315,2356,40
3,1030,1,0,2316,2356,40
3,1030,1,0,2356,2356,0
0,2002,1,0,2356,2356,0
6,1999,0,0,2323,2356,33
1,2001,1,0,2356,2358,2
0,2002,1,0,2394,2394,0
3,1030,1,0,2356,2394,38
1,2001,1,0,2358,2396,37
0,2002,1,0,2396,2396,0
6,1999,0,0,2362,2396,34
1,2001,1,0,2396,2433,37
3,1030,1,0,2394,2434,39
0,2002,1,0,2433,2434,0
3,1030,1,0,2434,2434,0
6,1999,0,0,2400,2434,33
1,2001,1,0,2433,2436,2
0,2002,1,0,2473,2473,0
3,1030,1,0,2434,2473,39
1,2001,1,0,2436,2474,37
0,2002,1,0,2475,2475,0
6,1999,0,0,2441,2475,34
1,2001,1,0,2474,2516,41
