thread,tag,sender,reciever,begin,end,lifeSpan
6,1996,1,1,145,145,0
0,2001,1,0,186,186,0
3,1030,1,0,188,188,0
0,2001,1,0,189,189,0
0,1999,1,1,190,190,0
1,2002,1,0,194,194,0
6,1996,1,1,235,235,0
1,2002,1,0,277,277,0
0,2001,1,0,278,278,0
0,1999,1,1,278,278,0
6,1996,1,1,282,282,0
1,2002,1,0,325,325,0
0,2001,1,0,325,325,0
0,1999,1,1,325,325,0
6,1996,1,1,327,327,0
0,2001,1,0,369,369,0
0,1999,1,1,370,370,0
1,2002,1,0,371,371,0
6,1996,1,1,373,373,0
0,2001,1,0,416,416,0
0,1999,1,1,416,416,0
1,2002,1,0,417,417,0
6,1996,1,1,420,420,0
0,2001,1,0,463,463,0
0,1999,1,1,463,463,0
1,2002,1,0,464,464,0
6,1996,1,1,466,466,0
0,2001,1,0,509,509,0
3,1030,1,0,510,510,0
0,2001,1,0,512,512,0
0,1999,1,1,512,512,0
1,2002,1,0,516,516,0
6,1996,1,1,519,519,0
0,2001,1,0,564,564,0
3,1030,1,0,565,565,0
0,2001,1,0,568,568,0
3,1030,1,0,568,568,0
0,2001,1,0,570,570,0
0,1999,1,1,571,571,0
1,2002,1,0,573,573,0
6,1996,1,1,576,576,0
1,2002,1,0,618,618,0
1,1030,1,0,618,618,0
0,2001,1,0,619,619,0
0,1999,1,1,620,620,0
1,2002,1,0,621,621,0
6,1996,1,1,624,624,0
0,2001,1,0,663,663,0
0,1999,1,1,664,664,0
1,2002,1,0,666,666,0
6,1996,1,1,668,668,0
0,2001,1,0,707,707,0
1,2002,1,0,707,707,0
3,1030,1,0,707,707,0
0,2001,1,0,709,709,0
0,1999,1,1,709,709,0
6,1996,1,1,713,713,0
1,2002,1,0,751,751,0
1,1030,1,0,752,752,0
0,2001,1,0,752,752,0
0,1999,1,1,753,753,0
1,2002,1,0,755,755,0
6,1996,1,1,758,758,0
0,2001,1,0,798,798,0
0,1999,1,1,798,798,0
1,2002,1,0,798,798,0
6,1996,1,1,802,802,0
0,2001,1,0,843,843,0
0,1999,1,1,843,843,0
1,2002,1,0,843,843,0
6,1996,1,1,847,847,0
