thread,begin,end,lifeSpan
0,3314,3314,0
0,3317,3317,0
0,3320,3320,0
0,3324,3324,0
0,3333,3333,0
0,3339,3339,0
0,3369,3369,0
0,3372,3372,0
0,3375,3375,0
0,3386,3386,0
0,3418,3418,0
0,3588,3588,0
0,3591,3591,0
0,3753,3753,0
0,3862,3862,0
0,3868,3868,0
0,4283,4283,0
0,4429,4429,0
0,4433,4433,0
0,4437,4438,1
0,4590,4590,0
0,4667,4667,0
0,4721,4721,0
0,4724,4727,3
0,4820,4820,0
0,5009,5009,0
0,5078,5078,0
0,5375,5375,0
0,5480,5480,0
0,5483,5483,0
0,5489,5489,0
0,5548,5548,0
0,5719,5719,0
0,5832,5832,0
0,5893,5893,0
0,5898,5898,0
0,6112,6112,0
0,6636,6636,0
0,6691,6691,0
0,6913,6913,0
0,7044,7044,0
0,7231,7231,0
0,7234,7234,0
0,7237,7237,0
0,7241,7241,0
0,7245,7245,0
0,7248,7248,0
0,7251,7251,0
0,7398,7398,0
0,7439,7439,0
0,7442,7442,0
0,7609,7609,0
0,7630,7630,0
0,7908,7908,0
0,7963,7963,0
0,7982,7982,0
0,8019,8019,0
0,8517,8517,0
0,8606,8606,0
0,8848,8848,0
0,8974,8974,0
0,9079,9079,0
0,9119,9119,0
0,9335,9335,0
0,9338,9338,0
0,9389,9389,0
0,9393,9393,0
0,9468,9468,0
0,9742,9742,0
0,9803,9803,0
0,9846,9846,0
0,10027,10027,0
0,10096,10096,0
0,10340,10340,0
0,10466,10466,0
0,10617,10617,0
0,10673,10673,0
0,10708,10709,0
0,10745,10747,1
0,10752,10752,0
0,11207,11207,0
0,11366,11366,0
0,11391,11391,0
0,11405,11406,0
0,11432,11432,0
0,11435,11435,0
0,11438,11438,0
0,11441,11441,0
0,11445,11445,0
0,11565,11565,0
0,11662,11662,0
0,11864,11864,0
0,11892,11892,0
0,12000,12000,0
0,12014,12014,0
0,12180,12180,0
0,12401,12401,0
0,12586,12586,0
0,12640,12640,0
0,12747,12747,0
0,12932,12932,0
0,13020,13020,0
0,13212,13212,0
0,13389,13389,0
0,13430,13430,0
0,13447,13447,0
0,13615,13615,0
0,13626,13626,0
0,13688,13688,0
0,13837,13837,0
0,13842,13842,0
0,13847,13847,0
0,13929,13929,0
0,13965,13965,0
0,14022,14022,0
0,14027,14027,0
0,14192,14192,0
0,14261,14261,0
0,14269,14269,0
0,14278,14278,0
0,14318,14318,0
0,14384,14384,0
0,14584,14584,0
0,14727,14727,0
0,14938,14938,0
0,14981,14981,0
0,15002,15002,0
0,15029,15029,0
0,15032,15032,0
0,15036,15036,0
0,15142,15142,0
0,15200,15203,3
