Job,nodes,ncpus,walltime,qtime,rtime
2094623.vm-pbs,1,1,60:00:00,0:0:1,0:24:37
2091378.vm-pbs,1,1,60:00:00,0:7:12,0:20:37
2071614.vm-pbs,1,12,50:00:00,1:40:54,1:28:19
2091734.vm-pbs,1,1,60:00:00,0:3:44,0:2:55
2092099.vm-pbs,1,1,60:00:00,0:6:3,0:23:8
2089557.vm-pbs,1,1,60:00:00,0:2:6,0:18:15
2092211.vm-pbs,1,1,60:00:00,0:3:42,0:2:38
2068778.vm-pbs,1,1,05:00:00,0:19:44,2:33:20
2092200.vm-pbs,1,1,60:00:00,0:4:31,0:23:16
2071348.vm-pbs,1,1,60:00:00,0:0:1,1:24:48
2073467.vm-pbs,1,1,01:00:00,0:15:38,0:7:57
2071400.vm-pbs,1,1,60:00:00,0:0:2,1:29:53
2070723.vm-pbs,1,1,96:00:00,0:0:0,0:40:6
2090283.vm-pbs,1,1,60:00:00,0:4:11,0:2:8
2087271.vm-pbs,1,1,60:00:00,0:0:1,0:4:48
2095122.vm-pbs,1,1,96:00:00,0:19:12,1:12:52
2068103.vm-pbs,1,1,60:00:00,0:0:1,7:58:34
2086414.vm-pbs,1,1,60:00:00,0:0:1,0:3:58
2087098.vm-pbs,1,1,60:00:00,0:0:1,0:4:10
2081799.vm-pbs,1,1,01:00:00,0:11:7,0:12:17
2068279.vm-pbs,1,1,48:00:00,0:0:1,0:11:47
2082667.vm-pbs,1,1,60:00:00,0:0:1,0:0:39
2072954.vm-pbs,1,1,60:00:00,1:5:57,1:9:24
2091011.vm-pbs,1,1,60:00:00,0:3:29,0:20:57
2073577.vm-pbs,1,1,01:00:00,0:34:35,0:8:58
2091668.vm-pbs,1,1,60:00:00,0:2:22,0:7:8
2073496.vm-pbs,1,1,01:00:00,0:22:11,0:6:23
2094421.vm-pbs,1,1,60:00:00,0:0:1,0:28:47
2088061.vm-pbs,1,1,96:00:00,0:0:0,0:40:6
2093417.vm-pbs,1,1,96:00:00,1:33:50,1:58:38
2072644.vm-pbs,1,1,60:00:00,1:15:23,1:9:7
2086369.vm-pbs,1,1,60:00:00,0:0:1,0:4:16
2094491.vm-pbs,1,1,60:00:00,0:0:1,0:26:51
2087737.vm-pbs,1,1,96:00:00,0:0:1,0:37:46
2082021.vm-pbs,1,1,96:00:00,0:16:47,0:25:29
2069821.vm-pbs,1,1,05:00:00,0:0:0,0:12:9
2089116.vm-pbs,1,1,60:00:00,0:0:1,0:20:53
2072757.vm-pbs,1,1,96:00:00,0:0:1,1:4:44
2075658.vm-pbs,1,1,01:00:00,0:50:54,0:37:45
2092896.vm-pbs,1,1,60:00:00,0:4:18,0:2:59
2081905.vm-pbs,1,1,01:00:00,0:29:44,0:8:39
2088834.vm-pbs,1,1,01:00:00,1:25:14,0:34:33
2074049.vm-pbs,1,1,60:00:00,0:38:3,7:7:46
2091028.vm-pbs,1,1,00:50:00,0:0:1,0:26:48
2085734.vm-pbs,1,1,60:00:00,0:0:1,0:2:49
2086181.vm-pbs,1,1,60:00:00,0:0:1,0:3:20
2075580.vm-pbs,1,1,60:00:00,0:39:35,1:4:6
2081490.vm-pbs,1,1,60:00:00,0:0:0,0:1:43
2081082.vm-pbs,1,1,60:00:00,0:0:1,0:0:5
2068516.vm-pbs,1,1,60:00:00,0:0:0,7:58:2
